City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
777,lindi,tz,73.72,light rain,-10.0,39.7167,Lindi paradise house
778,ancud,cl,47.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
779,gigmoto,ph,79.97,broken clouds,13.7796,124.39,Cj's Travellers Inn
780,kangaatsiaq,gl,14.86,overcast clouds,68.3065,-53.4641,Nukissiorfiit
782,cape town,za,63.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
783,bethel,us,35.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
784,kavieng,pg,83.84,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
785,cape town,za,63.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
787,busselton,au,66.16,broken clouds,-33.65,115.3333,Observatory Guest House
788,kapaa,us,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
789,hermanus,za,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
790,busselton,au,66.16,broken clouds,-33.65,115.3333,Observatory Guest House
791,vaini,to,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
792,qaanaaq,gl,11.73,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
793,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
794,ixtlahuacan del rio,mx,87.28,clear sky,20.8667,-103.25,HOTEL RAMIREZ
795,qaanaaq,gl,11.73,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
796,ak-dovurak,ru,20.57,overcast clouds,51.1833,90.6,Khostel Avtomoyka Stoyaka
797,georgetown,sh,79.47,overcast clouds,-7.9333,-14.4167,Scout's Beach Hut Campsite
798,kodiak,us,38.71,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
799,vaini,to,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
800,hithadhoo,mv,81.52,clear sky,-0.6,73.0833,Scoop Guest House
801,palmas bellas,pa,84.0,broken clouds,9.2319,-80.0867,Estación de Chagres
802,dongsheng,cn,36.46,clear sky,39.8161,109.9776,Crowne Plaza Ordos
803,iqaluit,ca,28.13,overcast clouds,63.7506,-68.5145,Frobisher Inn
